#scalar perturbations for mode k = 1.000000000000e-02 Mpc^(-1)
#    1:tau [Mpc]              2:a                      3:delta_g                4:theta_g                5:shear_g                6:pol0_g                 7:pol1_g                 8:pol2_g                 9:delta_b               10:theta_b               11:psi                   12:phi                   13:delta_ur              14:theta_ur              15:shear_ur              16:delta_cdm             17:theta_cdm          
       2.283741115453e+02       6.987804513175e-04      -2.489521097086e+00       4.184534769631e-03       2.065727138358e-03       4.786579449207e-03       1.326235473042e-05       9.573769797583e-04      -1.867736473872e+00       4.202395720122e-03       5.490784392997e-01       5.764659494984e-01      -2.351985235351e+00       2.458410807214e-03       1.141100199610e-01      -1.979457279415e+00       5.880093174194e-03 
       2.285219474743e+02       6.993662733469e-04      -2.490667396250e+00       4.185204775271e-03       2.073573871144e-03       4.801724846772e-03       1.335228188967e-05       9.604066789290e-04      -1.868598846110e+00       4.203165644711e-03       5.490278382077e-01       5.763855994214e-01      -2.352791001136e+00       2.456146221627e-03       1.141676882394e-01      -1.980567854353e+00       5.883281316423e-03 
       2.286703974301e+02       6.999547023198e-04      -2.491818515048e+00       4.185874960111e-03       2.081521259782e-03       4.817049263771e-03       1.344363491703e-05       9.634721939849e-04      -1.869464859003e+00       4.203937084894e-03       5.489770083564e-01       5.763049341354e-01      -2.353599589915e+00       2.453867619399e-03       1.142254508611e-01      -1.981683460638e+00       5.886481947888e-03 
       2.288194696742e+02       7.005457731590e-04      -2.492974517600e+00       4.186545326347e-03       2.089571012410e-03       4.832555582294e-03       1.353644383874e-05       9.665741016471e-04      -1.870334561114e+00       4.204710068177e-03       5.489259466801e-01       5.762239494220e-01      -2.354411039054e+00       2.451574819652e-03       1.142833090268e-01      -1.982804165368e+00       5.889695237072e-03 
       2.289691726173e+02       7.011395214267e-04      -2.494135469639e+00       4.187215878254e-03       2.097724872445e-03       4.848246739498e-03       1.363073944238e-05       9.697129896589e-04      -1.871208002233e+00       4.205484624631e-03       5.488746499509e-01       5.761426408726e-01      -2.355225387023e+00       2.449267640211e-03       1.143412639503e-01      -1.983930037216e+00       5.892921357633e-03 
       2.291195148202e+02       7.017359833297e-04      -2.495301438551e+00       4.187886622361e-03       2.105984610996e-03       4.864125728992e-03       1.372655322777e-05       9.728894570643e-04      -1.872085233392e+00       4.206260786839e-03       5.488231147758e-01       5.760610038826e-01      -2.356042673415e+00       2.446945897671e-03       1.143993168571e-01      -1.985061146464e+00       5.896160488536e-03 
       2.292705049995e+02       7.023351957439e-04      -2.496472493412e+00       4.188557567402e-03       2.114352032090e-03       4.880195601477e-03       1.382391746768e-05       9.761041143343e-04      -1.872966306911e+00       4.207038590075e-03       5.487713375926e-01       5.759790336470e-01      -2.356862938978e+00       2.444609407297e-03       1.144574689861e-01      -1.986197565044e+00       5.899412814188e-03 
       2.294221520314e+02       7.029371962294e-04      -2.497648703636e+00       4.189228717718e-03       2.122828976900e-03       4.896459465646e-03       1.392286526107e-05       9.793575835489e-04      -1.873851275372e+00       4.207818065841e-03       5.487193149894e-01       5.758967255064e-01      -2.357686224244e+00       2.442257976375e-03       1.145157215894e-01      -1.987339365535e+00       5.902678517956e-03 
       2.295744649532e+02       7.035420230406e-04      -2.498830138077e+00       4.189900068866e-03       2.131417330376e-03       4.912920489018e-03       1.402343061014e-05       9.826504985642e-04      -1.874740190951e+00       4.208599237692e-03       5.486670439123e-01       5.758140751724e-01      -2.358512568619e+00       2.439891399839e-03       1.145740759313e-01      -1.988486620496e+00       5.905957777887e-03 
       2.297274529356e+02       7.041497150142e-04      -2.500016866858e+00       4.190571617058e-03       2.140119029743e-03       4.929581895897e-03       1.412564850684e-05       9.859835046052e-04      -1.875633106789e+00       4.209382130934e-03       5.486145211974e-01       5.757310782314e-01      -2.359342012278e+00       2.437509470352e-03       1.146325332761e-01      -1.989639403788e+00       5.909250775771e-03 
       2.298811253122e+02       7.047603116902e-04      -2.501208961828e+00       4.191243360483e-03       2.148936056853e-03       4.946446973670e-03       1.422955488948e-05       9.893572595243e-04      -1.876530077334e+00       4.210166773557e-03       5.485617435113e-01       5.756477300724e-01      -2.360174596544e+00       2.435111978885e-03       1.146910948983e-01      -1.990797790978e+00       5.912557698854e-03 
       2.300354915992e+02       7.053738533894e-04      -2.502406496735e+00       4.191915299602e-03       2.157870428755e-03       4.963519076872e-03       1.433518658341e-05       9.927724346155e-04      -1.877431158474e+00       4.210953196209e-03       5.485087073421e-01       5.755640258703e-01      -2.361010364013e+00       2.432698714503e-03       1.147497620884e-01      -1.991961859501e+00       5.915878740370e-03 
       2.301905614927e+02       7.059903812079e-04      -2.503609547243e+00       4.192587437180e-03       2.166924202799e-03       4.980801627202e-03       1.444258136438e-05       9.962297146180e-04      -1.878336407546e+00       4.211741432442e-03       5.484554089925e-01       5.754799605802e-01      -2.361849358564e+00       2.430269464488e-03       1.148085361510e-01      -1.993131688676e+00       5.919214099621e-03 
       2.303463448461e+02       7.066099369248e-04      -2.504818190770e+00       4.193259778245e-03       2.176099480079e-03       4.998298111604e-03       1.455177800372e-05       9.997297973326e-04      -1.879245883222e+00       4.212531518824e-03       5.484018445805e-01       5.753955289443e-01      -2.362691625257e+00       2.427824014807e-03       1.148674183942e-01      -1.994307359544e+00       5.922563981602e-03 
       2.305028517077e+02       7.072325631562e-04      -2.506032506806e+00       4.193932330275e-03       2.185398411327e-03       5.016012087628e-03       1.466281634730e-05       1.003273394695e-03      -1.880159645739e+00       4.213323495256e-03       5.483480100210e-01       5.753107254671e-01      -2.363537210544e+00       2.425362149548e-03       1.149264101430e-01      -1.995488955180e+00       5.925928597899e-03 
       2.306600922975e+02       7.078583032629e-04      -2.507252575345e+00       4.194605096402e-03       2.194823207287e-03       5.033947181621e-03       1.477573742419e-05       1.006861232413e-03      -1.881077755730e+00       4.214117398513e-03       5.482939013515e-01       5.752255447740e-01      -2.364386160758e+00       2.422883644695e-03       1.149855127283e-01      -1.996676559481e+00       5.929308159603e-03 
       2.308180770001e+02       7.084872013244e-04      -2.508478475593e+00       4.195278069522e-03       2.204376135607e-03       5.052107090805e-03       1.489058344417e-05       1.010494050387e-03      -1.882000273253e+00       4.214913256162e-03       5.482395150229e-01       5.751399819245e-01      -2.365238520828e+00       2.420388262302e-03       1.150447274824e-01      -1.997870256183e+00       5.932702871268e-03 
       2.309768164307e+02       7.091193024050e-04      -2.509710288765e+00       4.195951243549e-03       2.214059511089e-03       5.070495593848e-03       1.500739775051e-05       1.014172604818e-03      -1.882927259890e+00       4.215711097390e-03       5.481848473508e-01       5.750540318054e-01      -2.366094336914e+00       2.417875760244e-03       1.151040557625e-01      -1.999070131084e+00       5.936112943167e-03 
