#scalar perturbations for mode k = 1.000000000000e+00 Mpc^(-1)
#    1:tau [Mpc]              2:a                      3:delta_g                4:theta_g                5:shear_g                6:pol0_g                 7:pol1_g                 8:pol2_g                 9:delta_b               10:theta_b               11:psi                   12:phi                   13:delta_ur              14:theta_ur              15:shear_ur              16:delta_cdm             17:theta_cdm          
       1.969452924722e+01       4.402426540638e-05       2.089692361601e+00      -1.199811805148e+00      -1.867757407454e-03      -4.669393518635e-03      -4.063120926158e-06      -9.338787037271e-04       1.567136256585e+00      -1.199869138846e+00       3.435785762348e-03       3.117029196055e-03      -1.594113736952e-02      -7.770249178335e-02      -5.141131459221e-02      -1.566795482413e+01       4.191854562730e-01 
       2.019452924722e+01       4.518183518233e-05       2.787715542019e+00      -8.988631098402e-01      -1.480825748857e-03      -3.702064372142e-03      -3.393022470565e-06      -7.404128744284e-04       2.090689951044e+00      -8.989506979117e-01       1.921742040852e-03       1.574277851494e-03       2.010475123789e-02      -4.760499364678e-02      -5.999068597815e-02      -1.587982636278e+01       4.097457523449e-01 
       2.069452924722e+01       4.634138035720e-05       3.262554207461e+00      -5.276462358673e-01      -9.932701811206e-04      -2.483175452801e-03      -2.394199710111e-06      -4.966350905603e-04       2.446869654562e+00      -5.277606274986e-01       9.352091347262e-04       6.254723015403e-04       3.666282395824e-02      -1.344827662120e-02      -5.693501215892e-02      -1.608515331124e+01       4.001750092165e-01 
       2.119452924722e+01       4.750290093098e-05       3.476957131704e+00      -1.156184428051e-01      -2.377411606314e-04      -5.943529015785e-04      -6.021430628209e-07      -1.188705803157e-04       2.607734434901e+00      -1.157530440840e-01       4.984110666917e-04       2.757161227316e-04       3.367929729801e-02       1.699377592311e-02      -4.369964585255e-02      -1.628391656014e+01       3.907211820102e-01 
       2.169452924722e+01       4.866639690366e-05       3.414316547969e+00       3.045902261001e-01       4.597953302231e-04       1.149488325558e-03       1.222300496200e-06       2.298976651116e-04       2.560824417409e+00       3.044449609150e-01       5.928961527155e-04       4.820646361210e-04       1.565786100182e-02       3.751298885197e-02      -2.381659861791e-02      -1.647636506449e+01       3.816287095073e-01 
       2.219452924722e+01       4.983186827526e-05       3.079963182192e+00       6.997695381418e-01       1.270426156744e-03       3.176065391860e-03       3.540941982453e-06       6.352130783721e-04       2.310132236186e+00       6.996255920190e-01       1.162824077495e-03       1.162818331390e-03      -9.815036407920e-03       4.476409435598e-02      -2.006186959893e-03      -1.666298139631e+01       3.731195667409e-01 
       2.269452924722e+01       5.099931504576e-05       2.500717897989e+00       1.038761784371e+00       2.127632520190e-03       5.319081300475e-03       6.211269178738e-06       1.063816260095e-03       1.875767104499e+00       1.038632749853e+00       2.120821069713e-03       2.208885793665e-03      -3.416528646861e-02       3.882527252442e-02       1.693848662941e-02      -1.684443220887e+01       3.653769648744e-01 
       2.319452924722e+01       5.216873721518e-05       1.722735443215e+00       1.294925456080e+00       2.792226657341e-03       6.980566643352e-03       8.529554770060e-06       1.396113328670e-03       1.292338108394e+00       1.294825438338e+00       3.356098400369e-03       3.495819666651e-03      -5.002100731193e-02       2.292896779261e-02       2.922970453195e-02      -1.702150942324e+01       3.585327744989e-01 
       2.369452924722e+01       5.334013478350e-05       8.078143343571e-01       1.448233733811e+00       3.272517535025e-03       8.181293837562e-03       1.045069671000e-05       1.636258767512e-03       6.061872204678e-01       1.448176060832e+00       4.744238710946e-03       4.895301454941e-03      -5.297195829364e-02       2.467801702439e-03       3.287925779525e-02      -1.719506791289e+01       3.526595600519e-01 
       2.419452924722e+01       5.451350775074e-05      -1.715287202593e-01       1.486842638923e+00       3.522403271700e-03       8.806008179249e-03       1.174903984753e-05       1.761201635850e-03      -1.283042108993e-01       1.486838483617e+00       6.157806742881e-03       6.285155890292e-03      -4.250265821852e-02      -1.645397390770e-02       2.803892412021e-02      -1.736596487372e+01       3.477677327592e-01 
       2.469452924722e+01       5.568885611688e-05      -1.137825846404e+00       1.408005334363e+00       3.510448427141e-03       8.776121067852e-03       1.221952252095e-05       1.755224213570e-03      -8.530400459214e-01       1.408062374297e+00       7.476811229479e-03       7.557338470870e-03      -2.191587820963e-02      -2.856009313253e-02       1.682877783089e-02      -1.753500516003e+01       3.438078900757e-01 
       2.519452924722e+01       5.686617988193e-05      -2.014804098877e+00       1.218262145280e+00       3.164147611908e-03       7.910369029771e-03       1.148470618771e-05       1.582073805954e-03      -1.510818292219e+00       1.218383396123e+00       8.598031446702e-03       8.623679638885e-03       2.687320355641e-03      -3.066310950047e-02       2.716802689278e-03      -1.770289573956e+01       3.406779291985e-01 
       2.569452924722e+01       5.804547904589e-05      -2.733421056600e+00       9.328943122680e-01       2.545693966709e-03       6.364234916773e-03       9.627156620093e-06       1.272846983355e-03      -2.049857289341e+00       9.330772689078e-01       9.442353721086e-03       9.419444412885e-03       2.408302493791e-02      -2.235959130878e-02      -1.038521953836e-02      -1.787021127763e+01       3.382340662505e-01 
       2.619452924722e+01       5.922675360877e-05      -3.237309368711e+00       5.746865810842e-01       1.762142851100e-03       4.405357127749e-03       6.937963543409e-06       8.810714255498e-04      -2.427878790973e+00       5.749227845666e-01       9.959503488781e-03       9.904939046076e-03       3.582292970153e-02      -6.016666167999e-03      -1.908517600809e-02      -1.803737183046e+01       3.363045862436e-01 
       2.669452924722e+01       6.041000357055e-05      -3.487198802801e+00       1.721001202199e-01       6.830192407281e-04       1.707548101820e-03       2.797729390618e-06       3.415096203641e-04      -2.615424410384e+00       1.723752395670e-01       1.012987483698e-02       1.006547372312e-02       3.388471181593e-02       1.391751590219e-02      -2.130343963754e-02      -1.820463273334e+01       3.347049159687e-01 
       2.719452924722e+01       6.159522893124e-05      -3.463969716958e+00      -2.429967172494e-01      -6.688318515262e-04      -1.672079628815e-03      -2.848171517168e-06      -3.344159257631e-04      -2.598145905115e+00      -2.427022399281e-01       9.963504182087e-03       9.909985596790e-03       1.768214566412e-02       3.208750642211e-02      -1.671528704468e-02      -1.837208607557e+01       3.332525832648e-01 
       2.769452924722e+01       6.278242969084e-05      -3.170100586607e+00      -6.378585031989e-01      -1.809515041310e-03      -4.523787603275e-03      -8.005592498294e-06      -9.047575206551e-04      -2.377891286410e+00      -6.375682454013e-01       9.496541092468e-03       9.468573001612e-03      -9.791625688341e-03       4.358937542861e-02      -6.751780197660e-03      -1.853967262242e+01       3.317807680342e-01 
       2.819452924722e+01       6.397160584935e-05      -2.629399714720e+00      -9.814515038280e-01      -3.025594044423e-03      -7.563985111057e-03      -1.389761276431e-05      -1.512797022211e-03      -1.972504335614e+00      -9.811913486035e-01       8.785806410323e-03       8.789127939241e-03      -4.269928144401e-02       4.517992672650e-02       5.824404057648e-03      -1.870720263171e+01       3.301493952524e-01 
       2.869452924722e+01       6.516275740677e-05      -1.885053388800e+00      -1.246896012463e+00      -4.173816366212e-03      -1.043454091553e-02      -1.989240483523e-05      -2.086908183106e-03      -1.414361683982e+00      -1.246692036701e+00       7.902173233583e-03       7.933215932911e-03      -7.377092550197e-02       3.605050354366e-02       1.765049346297e-02      -1.887438370966e+01       3.282530519000e-01 
       2.919452924722e+01       6.635588436310e-05      -9.961507335534e-01      -1.413569858971e+00      -4.871293572423e-03      -1.217823393106e-02      -2.407455294429e-05      -2.435646786212e-03      -7.477675755804e-01      -1.413445981837e+00       6.923525919897e-03       6.971345219594e-03      -9.603733318245e-02       1.799166214568e-02       2.561754736985e-02      -1.904085359435e+01       3.260254210151e-01 
       2.935669192243e+01       6.674326991034e-05      -6.882923707919e-01      -1.444048166030e+00      -5.117489708380e-03      -1.279372427095e-02      -2.558744854192e-05      -2.558744854190e-03      -5.168914514877e-01      -1.443954711321e+00       6.598829945846e-03       6.648985296345e-03      -1.004503719442e-01       1.082594355816e-02       2.698536696593e-02      -1.909462555063e+01       3.252263298053e-01 
       2.935669192243e+01       6.674326991034e-05      -6.882923707919e-01      -1.444048166030e+00      -5.117489708380e-03      -1.279372427095e-02      -2.558744854192e-05      -2.558744854190e-03      -5.168914514877e-01      -1.443954711321e+00       6.598767299036e-03       6.648985296345e-03      -1.004503719442e-01       1.082594355816e-02       2.698536696593e-02      -1.909462555063e+01       3.252263298053e-01 
       2.936169192243e+01       6.675521756239e-05      -6.787027378266e-01      -1.444797501476e+00      -5.123283870021e-03      -1.279500202860e-02      -2.558971977554e-05      -2.559034927193e-03      -5.096996915060e-01      -1.444705039689e+00       6.588761091742e-03       6.639020556458e-03      -1.005616451538e-01       1.059827364701e-02       2.701693647437e-02      -1.909628151341e+01       3.252010875893e-01 
       2.936669371268e+01       6.676716968994e-05      -6.691047139380e-01      -1.445535634116e+00      -5.128394318665e-03      -1.279850601969e-02      -2.559663941468e-05      -2.559756684330e-03      -5.025016336366e-01      -1.445444143201e+00       6.578749786297e-03       6.629051584195e-03      -1.006714410965e-01       1.037017762908e-02       2.704787104141e-02      -1.909793794473e+01       3.251758002641e-01 
       2.937169729417e+01       6.677912629558e-05      -6.594983681729e-01      -1.446262547675e+00      -5.133102253255e-03      -1.280359184777e-02      -2.560787041042e-05      -2.560786588087e-03      -4.952973296620e-01      -1.446172029564e+00       6.568734500384e-03       6.619078451293e-03      -1.007797555837e-01       1.014166022316e-02       2.707816912290e-02      -1.909959484438e+01       3.251504677850e-01 
       2.937670266790e+01       6.679108738189e-05      -6.498837697602e-01      -1.446978225910e+00      -5.137574492200e-03      -1.280983131723e-02      -2.562279021267e-05      -2.562042238931e-03      -4.880868314905e-01      -1.446888682645e+00       6.558715926817e-03       6.609101229451e-03      -1.008865844551e-01       9.912726170586e-03       2.710782918888e-02      -1.910125221216e+01       3.251250901117e-01 
       2.938170983486e+01       6.680305295146e-05      -6.402609881147e-01      -1.447682651005e+00      -5.141908986813e-03      -1.281693256378e-02      -2.564074052671e-05      -2.563467228222e-03      -4.808701911801e-01      -1.447594108622e+00       6.548694502753e-03       6.599119990409e-03      -1.009919235776e-01       9.683380233118e-03       2.713684972371e-02      -1.910291004785e+01       3.250996672063e-01 
       2.938671879603e+01       6.681502300686e-05      -6.306300927579e-01      -1.448375660771e+00      -5.146162375648e-03      -1.282469088145e-02      -2.566112850643e-05      -2.565021805391e-03      -4.736474623117e-01      -1.448291541211e+00       6.538670512144e-03       6.589134806044e-03      -1.010957688460e-01       9.453627189442e-03       2.716522922609e-02      -1.910456835124e+01       3.250741990301e-01 
       2.939172955242e+01       6.682699755069e-05      -6.209911536056e-01      -1.449057449576e+00      -5.150366567177e-03      -1.283295827633e-02      -2.568345709125e-05      -2.566677093130e-03      -4.664186951892e-01      -1.448976222278e+00       6.528644147282e-03       6.579145748338e-03      -1.011981161824e-01       9.223471836594e-03       2.719296620919e-02      -1.910622712213e+01       3.250486855445e-01 
