# Table of selected background quantities
# All densities are multiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:comov.snd.hrz.         9:(.)rho_g              10:(.)rho_b              11:(.)rho_cdm            12:(.)rho_lambda         13:(.)rho_ur             14:(.)rho_crit           15:(.)rho_dcdm           16:gr.fac. D             17:gr.fac. f          
       1.644055821920e+09       2.796795517018e-16       2.819560850185e-04       5.830896259208e+12       1.414490162400e+04       8.603662617051e-06       2.325500787957e+13       1.627874044329e-04       2.010227966077e+25       1.096654474486e+19       4.944339380008e+16       3.510489637255e-08       1.389700092960e+25       3.399935118565e+25       5.957928952843e+19       8.906326703391e-05       1.559940633138e-01 
       1.632627429862e+09       2.836087683639e-16       2.839297758328e-04       5.750112964254e+12       1.414490162203e+04       8.663888254380e-06       2.309335439497e+13       1.639269155551e-04       1.954912971426e+25       1.073943424443e+19       4.841945105696e+16       3.510489637255e-08       1.351460025412e+25       3.306379910168e+25       5.834543852298e+19       8.916018162042e-05       1.558245228526e-01 
       1.621278480451e+09       2.875931865622e-16       2.859172836907e-04       5.670448869869e+12       1.414490162004e+04       8.724535471157e-06       2.293282461881e+13       1.650744032451e-04       1.901120067146e+25       1.051702706493e+19       4.741671354794e+16       3.510489637255e-08       1.314272201275e+25       3.215399038580e+25       5.713713982462e+19       8.925709621983e-05       1.556553507085e-01 
       1.610008421452e+09       2.916335818224e-16       2.879187031795e-04       5.591888470248e+12       1.414490161804e+04       8.785607218437e-06       2.277341073980e+13       1.662299233389e-04       1.848807370216e+25       1.029922580342e+19       4.643474212545e+16       3.510489637255e-08       1.278107666200e+25       3.126921666369e+25       5.595386426053e+19       8.935401083225e-05       1.554865456840e-01 
       1.598816704472e+09       2.957307405656e-16       2.899341325246e-04       5.514416474407e+12       1.414490161602e+04       8.847106467934e-06       2.261510500096e+13       1.673935320631e-04       1.797934150100e+25       1.008593507414e+19       4.547310673643e+16       3.510489637255e-08       1.242938262572e+25       3.040878905322e+25       5.479509361677e+19       8.945092545778e-05       1.553181065872e-01 
       1.587702784929e+09       2.998854602613e-16       2.919636699517e-04       5.438017803213e+12       1.414490161399e+04       8.909036212162e-06       2.245789969923e+13       1.685652860380e-04       1.748460797035e+25       9.877061466685e+18       4.453138623393e+16       3.510489637255e-08       1.208736607579e+25       2.957203762806e+25       5.366032041128e+19       8.954784009654e-05       1.551500322313e-01 
       1.576666122026e+09       3.040985495828e-16       2.940074155049e-04       5.362677586439e+12       1.414490161195e+04       8.971399464586e-06       2.230178718510e+13       1.697452422801e-04       1.700348791193e+25       9.672513505145e+18       4.360916819272e+16       3.510489637255e-08       1.175476071899e+25       2.875831089609e+25       5.254904767163e+19       8.964475474862e-05       1.549823214346e-01 
       1.565706178727e+09       3.083708285643e-16       2.960654655908e-04       5.288381159879e+12       1.414490160989e+04       9.034199259761e-06       2.214675986223e+13       1.709334582053e-04       1.653560672686e+25       9.472201608011e+18       4.270604872863e+16       3.510489637255e-08       1.143130758961e+25       2.796697529216e+25       5.146078871742e+19       8.974166941414e-05       1.548149730204e-01 
       1.554822421726e+09       3.127031287606e-16       2.981379238918e-04       5.215114062490e+12       1.414490160782e+04       9.097438653488e-06       2.199281018709e+13       1.721299916311e-04       1.608060012400e+25       9.276038048955e+18       4.182163232171e+16       3.510489637255e-08       1.111675484785e+25       2.719741468478e+25       5.039506694708e+19       8.983858409321e-05       1.546479858173e-01 
       1.544014321428e+09       3.170962934090e-16       3.002248868142e-04       5.142862033576e+12       1.414490160573e+04       9.161120722956e-06       2.183993066858e+13       1.733349007800e-04       1.563811383636e+25       9.083936918408e+18       4.095553164296e+16       3.510489637255e-08       1.081085758374e+25       2.644902989640e+25       4.935141562920e+19       8.993549878593e-05       1.544813586588e-01 
